Sexo masculino,"-0,314","35,0381","0,0000","-0,0546","0,7305"
Estado civil solteiro,"-0,1707","9,4374","0,0021","-0,0259",0.8431
Primeira faixa de tempo de,"-0,4848","41,6169","0,0000","-0,0598","0,6158"
Segunda faixa de tempo de,"-0,2166","12,6825","0,0004","-0,031","0,8053"
Primeira faixa de número de,"1,6733","276,6224","0,0000","0,1574","5,3296"
Segunda faixa de número de,"0,9658","169,084","0,0000","0,1227","2,627"
Penúltima faixa de número de,"0,3051","20,2011","0,0000","0,0405",1.3568
Segunda faixa de tempo de,"-0,3363","11,2356","0,0008","-0,0289","0,7144"
Penúltima faixa de tempo de,"-0,1451","7,0946","0,0077","-0,0214",0.865
Primeira faixa de valor da parcela,"-0,2035","5,3672","0,0205","-0,0174","0,8159"
Primeira faixa de valor do,"0,9633","62,1252","0,0000","0,0736",2.6203
Segunda faixa de valor do,"0,5915","24,7781","0,0000","0,0453","1,8067"
Terceira faixa de valor do,"0,4683","27,7693","0,0000","0,0482",1.5972
Tipo de crédito: carnê,"-1,34","246,7614","0,0000","-0,1486","0,2618"
Primeira faixa de idade,"-0,7429","29,3706","0,0000","-0,0497",0.4757
Segunda faixa de idade,"-0,6435","50,924","0,0000","-0,0664",0.5254
Terceira faixa de idade,"-0,2848","12,4401","0,0004","-0,0307","0,7522"
Primeira categoria de CEP,"-0,3549","9,3714","0,0022","-0,0258","0,7012"
Primeira categoria de CEP,"-0,29","8,1718","0,0043","-0,0236","0,7483"
Segunda categoria de CEP,"-0,2888","20,231","0,0000","-0,0405","0,7492"
Terceira categoria de CEP,"-0,2662","12,9248","0,0003","-0,0314","0,7663"
Primeira categoria de profissão,"0,3033","10,3013","0,0013","0,0274",1.3543
Terceira categoria de profissão,"0,5048","32,2381","0,0000","0,0522","1,6566"
Quinta categoria de profissão,"0,4752","20,5579","0,0000","0,0409","1,6084"
Sexta categoria de profissão,"0,1899","7,534","0,0061","0,0223","1,2091"
Primeira faixa de empréstimo/,"0,2481","9,0609","0,0026","0,0252","1,2816"
Terceira faixa de empréstimo /,"0,164","6,0906","0,0136","0,0192","1,1782"
Primeira aquisição de empréstimo,"-0,6513",153.5677,"0,0000","-0,1169","0,5213"
Constante,"0,5868","42,2047","0,0000",,